Type,9,d,7,2,6,3,a,i,h,5,e,b,c,g,4,8,f,1,
0a,0,2,0.5,1,2,1,1,1,1,0.5,1,1,0.5,1,2,1,1,1,
0b,1,1,0.5,1,1,1,1,1,1,1,2,0.5,2,2,1,1,1,1,
0c,0.5,2,0.5,2,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1,
0d,2,1,2,0.5,1,2,0.5,1,2,2,1,1,1,1,1,0.5,1,0.5,
0e,1,1,0,1,1,1,1,1,1,1,2,1,0.5,2,1,0.5,1,0,
0f,1,1,1,0.5,2,0.5,1,2,1,0.5,1,1,1,1,0.5,1,2,1,
0g,1,1,2,1,1,1,1,2,1,1,0.5,0,2,0.5,1,1,1,1,
0h,2,0.5,2,2,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0,0.5,0.5,
0i,1,1,0.5,1,1,1,1,1,2,1,1,1,0.5,0.5,1,2,0,1,
01,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,
1a,0,2,1.0,1,2,1,1,1,1,0.5,0,1,0.5,1,2,1,1,1,
1b,1,1,1.0,1,1,1,1,1,1,1,0,0.5,2,2,1,1,1,1,
1c,0.5,2,1.0,2,1,1,2,1,1,0.5,0,1,1,1,1,1,1,1,
1d,2,1,4,0.5,1,2,0.5,1,2,2,0,1,1,1,1,0.5,1,0.5,
1e,1,1,0,1,1,1,1,1,1,1,0,1,0.5,2,1,0.5,1,0,
1f,1,1,2,0.5,2,0.5,1,2,1,0.5,0,1,1,1,0.5,1,2,1,
1g,1,1,4,1,1,1,1,2,1,1,0.0,0,2,0.5,1,1,1,1,
1h,2,0.5,4,2,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0.5,1,1,0,0.5,0.5,
1i,1,1,1.0,1,1,1,1,1,2,1,0,1,0.5,0.5,1,2,0,1,
02,2,2,1,0.5,0.5,2,1,0.5,0.5,0.5,1,1,0.5,1,1,1,1,1,
2a,0,4,0.5,0.5,1.0,2,1,0.5,0.5,0.25,1,1,0.25,1,2,1,1,1,
2b,2,2,0.5,0.5,0.5,2,1,0.5,0.5,0.5,2,0.5,1.0,2,1,1,1,1,
2c,1.0,4,0.5,1.0,0.5,2,2,0.5,0.5,0.25,1,1,0.5,1,1,1,1,1,
2d,4,2,2,0.25,0.5,4,0.5,0.5,1.0,1.0,1,1,0.5,1,1,0.5,1,0.5,
2e,2,2,0,0.5,0.5,2,1,0.5,0.5,0.5,2,1,0.25,2,1,0.5,1,0,
2f,2,2,1,0.25,1.0,1.0,1,1.0,0.5,0.25,1,1,0.5,1,0.5,1,2,1,
2g,2,2,2,0.5,0.5,2,1,1.0,0.5,0.5,0.5,0,1.0,0.5,1,1,1,1,
2h,4,1.0,2,1.0,0.25,2,0.5,0.25,0.25,0.25,1,0.5,0.25,1,1,0,0.5,0.5,
2i,2,2,0.5,0.5,0.5,2,1,0.5,1.0,0.5,1,1,0.25,0.5,1,2,0,1,
03,1,1,1,0.5,0.5,0.5,1,1,0.5,2,1,1,1,1,2,1,1,1,
3a,0,2,0.5,0.5,1.0,0.5,1,1,0.5,1.0,1,1,0.5,1,4,1,1,1,
3b,1,1,0.5,0.5,0.5,0.5,1,1,0.5,2,2,0.5,2,2,2,1,1,1,
3c,0.5,2,0.5,1.0,0.5,0.5,2,1,0.5,1.0,1,1,1,1,2,1,1,1,
3d,2,1,2,0.25,0.5,1.0,0.5,1,1.0,4,1,1,1,1,2,0.5,1,0.5,
3e,1,1,0,0.5,0.5,0.5,1,1,0.5,2,2,1,0.5,2,2,0.5,1,0,
3f,1,1,1,0.25,1.0,0.25,1,2,0.5,1.0,1,1,1,1,1.0,1,2,1,
3g,1,1,2,0.5,0.5,0.5,1,2,0.5,2,0.5,0,2,0.5,2,1,1,1,
3h,2,0.5,2,1.0,0.25,0.5,0.5,0.5,0.25,1.0,1,0.5,0.5,1,2,0,0.5,0.5,
3i,1,1,0.5,0.5,0.5,0.5,1,1,1.0,2,1,1,0.5,0.5,2,2,0,1,
04,2,1,1,1,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,1,
4a,0,2,0.5,1,2,1,0.5,1,0.5,0.5,1,1,0.5,1,1.0,1,1,1,
4b,2,1,0.5,1,1,1,0.5,1,0.5,1,2,0.5,2,2,0.5,1,1,1,
4c,1.0,2,0.5,2,1,1,1.0,1,0.5,0.5,1,1,1,1,0.5,1,1,1,
4d,4,1,2,0.5,1,2,0.25,1,1.0,2,1,1,1,1,0.5,0.5,1,0.5,
